SubNum,Group,Hostname,TrialNum,Word,List,Type,NoList,Pleasantness,RT,Credit,Lab
30,young,CC4,1,THESAURUS,,semantic,1,NA,NA,y,y
30,young,CC4,2,JASMINE,,semantic,1,2,5.57362541230395,y,y
30,young,CC4,3,STOREROOM,,semantic,1,3,8.43730415799655,y,y
30,young,CC4,4,ATTIC,,semantic,1,2,11.2292158112396,y,y
30,young,CC4,5,INFERNO,,semantic,1,3,14.762888178695,y,y
30,young,CC4,6,STATIONER,,semantic,1,3,17.9965281581972,y,y
30,young,CC4,7,PICCOLO,,semantic,1,2,19.7550120905507,y,y
30,young,CC4,8,SILHOUETTE,,semantic,1,3,23.4220524434932,y,y
30,young,CC4,9,CONVENIENCE,,semantic,1,3,25.888927022228,y,y
30,young,CC4,10,SCISSORS,,semantic,1,3,28.9058902082033,y,y
30,young,CC4,11,TRICKSTER,MAGICIAN,semantic,0,2,31.7978024950717,y,y
30,young,CC4,12,GUN,BUN,phonetic,0,1,34.6564397956245,y,y
30,young,CC4,13,MEAL,TEAL,phonetic,0,2,38.6818257144187,y,y
30,young,CC4,14,LOON,BOON,phonetic,0,3,41.9154533180408,y,y
30,young,CC4,15,REPTILES,DINOSAUR,semantic,0,3,43.5739369182847,y,y
30,young,CC4,16,BAT,CAT,phonetic,0,3,46.3492282833904,y,y
30,young,CC4,17,HEAL,TEAL,phonetic,0,2,49.8495589566883,y,y
30,young,CC4,18,TEAM,TEAL,phonetic,0,1,52.5498051729519,y,y
30,young,CC4,19,PACIFIER,INFANT,semantic,0,2,56.9502296904102,y,y
30,young,CC4,20,SWAMPS,DINOSAUR,semantic,0,3,58.533713117009,y,y
30,young,CC4,21,SORCERER,MAGICIAN,semantic,0,3,62.967459105188,y,y
30,young,CC4,22,MUMMIES,PYRAMID,semantic,0,4,65.1093349440489,y,y
30,young,CC4,23,BETTOR,GAMBLER,semantic,0,3,67.167846736731,y,y
30,young,CC4,24,GUSTS,TORNADO,semantic,0,3,70.8515475231688,y,y
30,young,CC4,25,CATACOMBS,PYRAMID,semantic,0,3,73.0017425615806,y,y
30,young,CC4,26,MATE,FATE,phonetic,0,3,75.8853588914499,y,y
30,young,CC4,27,FAME,FATE,phonetic,0,3,78.6606252032798,y,y
30,young,CC4,28,BEST,WEST,phonetic,0,1,82.3859485490248,y,y
30,young,CC4,29,HIEROGLYPHICS,PYRAMID,semantic,0,3,86.2029735532124,y,y
30,young,CC4,30,VANISH,MAGICIAN,semantic,0,4,89.2949375163298,y,y
30,young,CC4,31,JUGGLING,MAGICIAN,semantic,0,2,91.7535502465907,y,y
30,young,CC4,32,GLACIERS,DINOSAUR,semantic,0,3,94.753833378898,y,y
30,young,CC4,33,SEAL,TEAL,phonetic,0,2,97.4374285188969,y,y
30,young,CC4,34,HOLE,ROLE,phonetic,0,3,100.446077033179,y,y
30,young,CC4,35,DIAPERS,INFANT,semantic,0,3,104.146423764527,y,y
30,young,CC4,36,BUS,BUN,phonetic,0,3,106.588292147964,y,y
30,young,CC4,37,TEETHING,INFANT,semantic,0,3,109.763566730311,y,y
30,young,CC4,38,WHIRLING,TORNADO,semantic,0,2,113.147248108173,y,y
30,young,CC4,39,AMPHIBIANS,DINOSAUR,semantic,0,3,116.197559025371,y,y
30,young,CC4,40,SIRENS,TORNADO,semantic,0,3,119.306186440634,y,y
30,young,CC4,41,TEST,WEST,phonetic,0,4,122.514816602459,y,y
30,young,CC4,42,FUN,BUN,phonetic,0,1,124.406657955376,y,y
30,young,CC4,43,WENT,WEST,phonetic,0,2,128.173707092181,y,y
30,young,CC4,44,VEST,WEST,phonetic,0,1,130.965632328298,y,y
30,young,CC4,45,HOP,COP,phonetic,0,1,133.282482412178,y,y
30,young,CC4,46,SKELETONS,DINOSAUR,semantic,0,4,137.324580681976,y,y
30,young,CC4,47,EMBALMING,PYRAMID,semantic,0,3,140.016480834689,y,y
30,young,CC4,48,BRONTOSAURUS,DINOSAUR,semantic,0,4,143.533465300919,y,y
30,young,CC4,49,LEST,WEST,phonetic,0,3,145.6753731356,y,y
30,young,CC4,50,BURGLARY,ROBBERY,semantic,0,4,148.867325658677,y,y
30,young,CC4,51,CRADLE,INFANT,semantic,0,3,151.534264591057,y,y
30,young,CC4,52,PUN,BUN,phonetic,0,2,154.617898186436,y,y
30,young,CC4,53,EGYPTIAN,PYRAMID,semantic,0,3,157.343157842755,y,y
30,young,CC4,54,PEST,WEST,phonetic,0,3,160.510134053184,y,y
30,young,CC4,55,SIS,SIP,phonetic,0,1,163.402116670506,y,y
30,young,CC4,56,MAT,CAT,phonetic,0,3,166.585718602175,y,y
30,young,CC4,57,MADMAN,LUNATIC,semantic,0,3,170.119387347717,y,y
30,young,CC4,58,HYPNOTIST,MAGICIAN,semantic,0,3,173.544717545388,y,y
30,young,CC4,59,FOSSILS,DINOSAUR,semantic,0,2,176.061607835349,y,y
30,young,CC4,60,RATTLE,INFANT,semantic,0,4,179.386936795432,y,y
