SubNum,Group,TrialNum,Word,List,Type,NoList,Studied,New,RT
57,young,1,INDUSTRY,,semantic,1,0,1!,4.67486195685342
57,young,2,CANVAS,,semantic,1,0,1!,6.60239384043962
57,young,3,ATTIC,,semantic,1,0,1!,8.30632442282513
57,young,4,SYNOPSIS,,semantic,1,0,1!,9.61829190514982
57,young,5,DIAMOND,CRITICAL,semantic,1,0,6^,11.4101455542259
57,young,6,CRADLE,INFANT,semantic,0,1,6^,13.0660625868477
57,young,7,MANIAC,LUNATIC,semantic,0,0,1!,13.9860244090669
57,young,8,STROLLER,INFANT,semantic,0,0,1!,15.2579957433045
57,young,9,PEAL,TEAL,phonetic,0,0,1!,16.8419116190635
57,young,10,CASINO,GAMBLER,semantic,0,1,6^,17.4898604522459
57,young,11,COG,COP,phonetic,0,1,6^,18.169839347247
57,young,12,CAM,CAT,phonetic,0,0,1!,19.001788453199
57,young,13,LUNATIC,CRITICAL,semantic,1,0,1!,19.9537208727561
57,young,14,GLACIERS,DINOSAUR,semantic,0,1,6^,20.5297201653011
57,young,15,PAT,CAT,phonetic,0,0,6^,21.1617057342082
57,young,16,CARAT,DIAMOND,semantic,0,0,1!,21.8816644777544
57,young,17,BUS,BUN,phonetic,0,0,1!,22.7296459707432
57,young,18,THESAURUS,,semantic,1,0,1!,23.5696293809451
57,young,19,LAMPOON,COMEDIAN,semantic,0,1,1!,25.5775812808424
57,young,20,RABBIT,MAGICIAN,semantic,0,0,1!,26.489452353213
57,young,21,PHANTOM,CRITICAL,semantic,1,0,1!,27.4334069141187
57,young,22,FATE,CRITICAL,phonetic,1,0,1!,28.4813800156116
57,young,23,PULL,,phonetic,1,0,1!,29.2973118266091
57,young,24,PEST,WEST,phonetic,0,1,6^,30.0812621740624
57,young,25,DEMENTED,LUNATIC,semantic,0,0,1!,30.8412581169978
57,young,26,COMEDIAN,CRITICAL,semantic,1,0,1!,32.3932112436742
57,young,27,GOBLIN,PHANTOM,semantic,0,0,1!,33.249147051014
57,young,28,NULL,,phonetic,1,0,1!,33.841120172292
57,young,29,PURPLE,,semantic,1,0,1!,34.3930533765815
57,young,30,BOOKIE,GAMBLER,semantic,0,0,1!,35.0890317573212
57,young,31,PUN,BUN,phonetic,0,0,1!,35.8410456157289
