SubNum,TrialNum,Word,List,Type,NoList,Studied,New,RT
29,1,"THESAURUS","","semantic",1,0,"1",3.24286668980494
29,2,"SABLE","","semantic",1,0,"1",4.33044258062728
29,3,"MONOXIDE","","semantic",1,0,"1",5.25838263938203
29,4,"INVITATION","","semantic",1,0,"1",6.56230527348816
29,5,"RAW","","phonetic",1,0,"1",7.69020742061548
29,6,"PSYCHOPATH","LUNATIC","semantic",0,1,"6",9.81008204701357
29,7,"TEAM","TEAL","phonetic",0,0,"1",11.6979044231121
29,8,"JUGGLING","MAGICIAN","semantic",0,0,"1",13.4257842942607
29,9,"HARDNESS","DIAMOND","semantic",0,0,"1",14.3377565441187
29,10,"RATE","FATE","phonetic",0,1,"5",16.0256557695102
29,11,"COW","","phonetic",1,0,"1",16.9615699229762
29,12,"APARTMENT","","semantic",1,0,"1",18.177512497874
29,13,"BIOLOGIST","","semantic",1,0,"1",18.8814278270584
29,14,"SPOOKY","PHANTOM","semantic",0,0,"1",19.7853973072488
29,15,"GAZETTE","","semantic",1,0,"1",20.5213720102329
29,16,"VEST","WEST","phonetic",0,0,"1",21.6892617456615
29,17,"FATE","CRITICAL","phonetic",1,0,"1",22.7292816312984
29,18,"MOON","BOON","phonetic",0,0,"1",23.4491436404642
29,19,"BOOK","","phonetic",1,0,"3",26.0809821253642
29,20,"LOUD","","phonetic",1,0,"1",27.3288983507082
29,21,"PRICELESS","DIAMOND","semantic",0,1,"6",28.7448338021059
29,22,"TEAT","TEAL","phonetic",0,1,"6",29.4887503026985
29,23,"ASSAILANT","ROBBERY","semantic",0,1,"6",30.2007203185931
29,24,"ARTIFACTS","DINOSAUR","semantic",0,1,"6",31.3686405404005
29,25,"BOP","COP","phonetic",0,1,"6",32.9205657267012
29,26,"TOON","BOON","phonetic",0,1,"6",33.6964655364864
29,27,"UNFORMED","","semantic",1,0,"1",35.8243930384051
29,28,"GLITTERING","DIAMOND","semantic",0,1,"6",37.0003244813997
29,29,"FUR","","phonetic",1,0,"2",38.4802280606236
29,30,"MOORING","","semantic",1,0,"1",39.5921436846256
29,31,"CAT","CRITICAL","phonetic",1,0,"1",40.5760672120377
29,32,"EMBALMING","PYRAMID","semantic",0,0,"1",41.7999899184797
29,33,"SIP","CRITICAL","phonetic",1,0,"1",42.9279488122556
29,34,"ROTE","ROLE","phonetic",0,1,"6",43.8158397066873
29,35,"WEST","CRITICAL","phonetic",1,0,"1",44.6958696979564
29,36,"STORK","INFANT","semantic",0,1,"6",45.5757415231783
29,37,"PERK","","phonetic",1,0,"3",47.1596433783416
29,38,"CON","COP","phonetic",0,1,"6",48.2395699578337
29,39,"BOOS","BOON","phonetic",0,0,"6",49.3675122503191
29,40,"NIP","SIP","phonetic",0,1,"6",50.0874014254659
29,41,"JOY","","phonetic",1,0,"2",51.4793545263819
29,42,"MILE","MIRE","phonetic",0,1,"6",52.9512773703318
29,43,"VAULT","PYRAMID","semantic",0,1,"4",56.2151010360103
29,44,"SIX","SIP","phonetic",0,1,"6",56.9589982184116
29,45,"COIN","","phonetic",1,0,"3",61.3987364238128
29,46,"CONVENIENCE","","semantic",1,0,"1",62.7346423671115
29,47,"DIAMOND","CRITICAL","semantic",1,0,"1",63.8865419570357
29,48,"BLACKJACK","GAMBLER","semantic",0,1,"6",64.9744553088676
29,49,"LUNATIC","CRITICAL","semantic",1,0,"1",65.7904438241385
29,50,"GOON","BOON","phonetic",0,1,"6",66.7423780055251
29,51,"INFANT","CRITICAL","semantic",1,0,"5",69.2222486839164
29,52,"PHYSIQUE","FITNESS","semantic",0,0,"1",70.1661532314029
29,53,"MOP","COP","phonetic",0,0,"6",71.1980822088663
29,54,"NULL","","phonetic",1,0,"1",72.1980079554487
29,55,"STAKES","GAMBLER","semantic",0,0,"3",75.2137892253231
29,56,"MAMMOTH","DINOSAUR","semantic",0,1,"6",76.5897648581304
29,57,"HALLUCINATION","LUNATIC","semantic",0,0,"1",77.6776350461878
29,58,"BUM","BUN","phonetic",0,0,"1",78.669591527665
29,59,"BUN","CRITICAL","phonetic",1,0,"6",79.7015090349596
29,60,"FAME","FATE","phonetic",0,0,"4",81.5973975679372
29,61,"BANDIT","ROBBERY","semantic",0,1,"2",84.1413480560295
29,62,"COB","COP","phonetic",0,0,"4",87.3090781164356
29,63,"HOUSECOAT","","semantic",1,0,"1",88.7969461311586
29,64,"SPARKLE","DIAMOND","semantic",0,0,"4",91.532769309124
29,65,"GATE","FATE","phonetic",0,0,"3",93.628640153911
29,66,"HAT","CAT","phonetic",0,1,"6",95.0845260669012
29,67,"UNDERWORLD","PYRAMID","semantic",0,1,"6",95.9004958679434
29,68,"PYRAMID","CRITICAL","semantic",1,0,"1",97.4123743048403
29,69,"TRIPLICATE","","semantic",1,0,"1",98.4042849061079
29,70,"OPOSSUM","","semantic",1,0,"1",99.6202428750694
29,71,"FAT","CAT","phonetic",0,0,"3",101.804111587815
29,72,"BUR","","phonetic",1,0,"4",104.48401679704
29,73,"SILHOUETTE","","semantic",1,0,"1",105.763868338428
29,74,"PHANTOM","CRITICAL","semantic",1,0,"1",106.859802570427
29,75,"LOTTERY","GAMBLER","semantic",0,1,"6",108.507627578452
29,76,"FAKE","FATE","phonetic",0,1,"4",111.523499099538
29,77,"DERANGED","LUNATIC","semantic",0,1,"1",112.40344336722
29,78,"WIZARD","MAGICIAN","semantic",0,1,"6",113.555367104709
29,79,"PARANORMAL","PHANTOM","semantic",0,1,"6",114.467267213855
29,80,"TEAS","TEAL","phonetic",0,1,"6",115.403261657571
29,81,"GAMBLER","CRITICAL","semantic",1,0,"1",117.491140297381
29,82,"PULL","","phonetic",1,0,"3",119.218950744718
29,83,"SWEATING","FITNESS","semantic",0,1,"4",122.730782697676
29,84,"PICCOLO","","semantic",1,0,"1",123.690760095604
29,85,"WOOD","","phonetic",1,0,"1",124.666631049244
29,86,"FUN","BUN","phonetic",0,0,"6",126.362514933571
29,87,"TOY","","phonetic",1,0,"1",128.874428384472
29,88,"PODIUM","","semantic",1,0,"1",130.058294682298
