SubNum,TrialNum,Word,List,Type,NoList,Studied,New,RT
81,1,"BIOLOGIST","","semantic",1,0,"6^",2.2488720734691
81,2,"SCHOOLYARD","","semantic",1,0,"1!",6.24470185932296
81,3,"UNFORMED","","semantic",1,0,"1!",14.8995416450052
81,4,"BISON","","semantic",1,0,"4$",20.9503614356654
81,5,"MATE","FATE","phonetic",0,0,"2@",24.9602292474883
81,6,"STATIONER","","semantic",1,0,"1!",26.5577100443916
81,7,"WEST","CRITICAL","phonetic",1,0,"1!",28.692311532126
81,8,"JOKER","COMEDIAN","semantic",0,0,"1!",32.0657092139882
81,9,"PEAL","TEAL","phonetic",0,1,"6^",34.5143377644999
81,10,"NUN","BUN","phonetic",0,0,"1!",36.5567784057639
81,11,"NOW","","phonetic",1,0,"1!",37.6399139738787
81,12,"MIKE","MIRE","phonetic",0,1,"5%",43.1249156183621
81,13,"TEAL","CRITICAL","phonetic",1,0,"1!",45.6082494571019
81,14,"PULL","","phonetic",1,0,"1!",46.9441683947371
81,15,"HOP","COP","phonetic",0,0,"6^",49.6660586367943
81,16,"MOLE","ROLE","phonetic",0,0,"1!",51.719818897298
81,17,"INVITATION","","semantic",1,0,"1!",54.4629376240773
81,18,"MADMAN","LUNATIC","semantic",0,0,"2@",57.3430445502454
81,19,"STOREROOM","","semantic",1,0,"2@",60.6047622268816
81,20,"GUN","BUN","phonetic",0,0,"1!",61.9927698871325
81,21,"UNDERGROWTH","","semantic",1,0,"1!",64.6630635842303
81,22,"NUTRITION","FITNESS","semantic",0,1,"6^",66.0851080108405
81,23,"CAT","CRITICAL","phonetic",1,0,"1!",67.9452623820107
81,24,"DINOSAUR","CRITICAL","semantic",1,0,"1!",69.5374743122957
81,25,"LOUD","","phonetic",1,0,"1!",70.5703653077799
81,26,"BUR","","phonetic",1,0,"1!",72.203456439951
81,27,"BAT","CAT","phonetic",0,0,"2@",74.6486150214478
81,28,"PUN","BUN","phonetic",0,1,"6^",76.2071937243891
81,29,"FOSSILS","DINOSAUR","semantic",0,0,"4$",81.2105293358909
81,30,"RAW","","phonetic",1,0,"2@",82.9831782546244
81,31,"REPTILES","DINOSAUR","semantic",0,1,"6^",84.6836142167158
81,32,"PROMENADE","","semantic",1,0,"1!",87.4299645212304
81,33,"SAW","","phonetic",1,0,"1!",88.504875824292
81,34,"TRICKSTER","MAGICIAN","semantic",0,0,"3#",93.064243411005
81,35,"TOY","","phonetic",1,0,"1!",94.7831185401737
81,36,"MEAL","TEAL","phonetic",0,1,"6^",96.4048275395617
81,37,"RHINESTONES","DIAMOND","semantic",0,1,"5%",100.025429489149
81,38,"COON","BOON","phonetic",0,1,"4$",102.935157578497
81,39,"PHANTOM","CRITICAL","semantic",1,0,"2@",105.971311408503
81,40,"COT","COP","phonetic",0,1,"5%",108.874386469091
81,41,"THESAURUS","","semantic",1,0,"1!",112.34662881642
81,42,"CHATEAU","CASTLE","semantic",0,1,"6^",113.695688197302
81,43,"NULL","","phonetic",1,0,"2@",119.261227831608
81,44,"MONOXIDE","","semantic",1,0,"1!",120.706415803812
81,45,"COW","","phonetic",1,0,"2@",124.704921076642
81,46,"DIAMOND","CRITICAL","semantic",1,0,"1!",134.986390238555
81,47,"MAT","CAT","phonetic",0,0,"3#",139.543821304527
81,48,"JOY","","phonetic",1,0,"3#",143.021857818982
81,49,"COIN","","phonetic",1,0,"1!",144.545484911607
81,50,"SOON","BOON","phonetic",0,0,"3#",147.377360295039
81,51,"BOUT","","phonetic",1,0,"1!",155.083481258771
81,52,"INFERNO","","semantic",1,0,"1!",156.176836394094
81,53,"STRONGHOLD","CASTLE","semantic",0,0,"1!",158.566685405196
81,54,"CLOWN","COMEDIAN","semantic",0,0,"1!",160.48368372806
81,55,"MIRE","CRITICAL","phonetic",1,0,"2@",164.816337965094
81,56,"FORTRESS","CASTLE","semantic",0,0,"2@",175.219234582139
81,57,"PODIUM","","semantic",1,0,"1!",176.340271094246
81,58,"COP","CRITICAL","phonetic",1,0,"2@",181.175803520819
81,59,"JOGGING","FITNESS","semantic",0,1,"4$",188.950279794837
81,60,"FADE","FATE","phonetic",0,1,"6^",192.939186903881
81,61,"PAT","CAT","phonetic",0,1,"6^",194.105768741822
81,62,"EXTINCTION","DINOSAUR","semantic",0,0,"1!",196.139290937645
81,63,"TRIPLICATE","","semantic",1,0,"1!",197.489071090517
81,64,"TIP","SIP","phonetic",0,0,"2@",203.003527350855
81,65,"TIRE","MIRE","phonetic",0,0,"2@",207.176939028301
81,66,"MICE","MIRE","phonetic",0,1,"6^",210.81511568508
81,67,"LOON","BOON","phonetic",0,0,"6^",211.873840175234
81,68,"SLAPSTICK","COMEDIAN","semantic",0,1,"6^",214.034059625817
81,69,"BOOKIE","GAMBLER","semantic",0,1,"6^",215.304779254831
81,70,"ROULETTE","GAMBLER","semantic",0,1,"6^",216.699665739085
81,71,"SIS","SIP","phonetic",0,1,"6^",217.646237173642
81,72,"HIGHCHAIR","INFANT","semantic",0,1,"6^",218.433577711592
81,73,"LAWN","","phonetic",1,0,"3#",223.598467951306
81,74,"WEPT","WEST","phonetic",0,0,"1!",225.875514045736
81,75,"HEAL","TEAL","phonetic",0,0,"2@",228.456955449772
81,76,"DEMENTED","LUNATIC","semantic",0,1,"6^",231.426668097338
81,77,"DATE","FATE","phonetic",0,1,"6^",232.545259582897
81,78,"DIRE","MIRE","phonetic",0,0,"5%",234.491428877998
81,79,"BOOM","BOON","phonetic",0,1,"6^",235.732072954255
81,80,"WENT","WEST","phonetic",0,0,"2@",241.919289398124
81,81,"BETTOR","GAMBLER","semantic",0,0,"1!",243.392194202577
81,82,"INDUSTRY","","semantic",1,0,"2@",245.440477528944
81,83,"BOON","CRITICAL","phonetic",1,0,"5%",247.45465504413
81,84,"BEST","WEST","phonetic",0,1,"6^",248.757381148433
81,85,"EMERALD","DIAMOND","semantic",0,0,"3#",254.806998719418
81,86,"SIP","CRITICAL","phonetic",1,0,"3#",263.639108761941
81,87,"LIP","SIP","phonetic",0,0,"2@",265.278158275934
81,88,"COMEDIAN","CRITICAL","semantic",1,0,"2@",270.52800117564
81,89,"SOLE","ROLE","phonetic",0,1,"5%",272.759429167243
81,90,"WOOD","","phonetic",1,0,"2@",277.000071377421
81,91,"FOIL","","phonetic",1,0,"2@",279.367480820234
81,92,"RUBIES","DIAMOND","semantic",0,0,"1!",281.14963086677
81,93,"WELT","WEST","phonetic",0,1,"3#",287.357480050487
81,94,"CAM","CAT","phonetic",0,1,"6^",289.097324746283
81,95,"ATTIC","","semantic",1,0,"1!",293.360946753848
81,96,"CARAT","DIAMOND","semantic",0,1,"6^",297.217787439906
81,97,"HYPNOTIST","MAGICIAN","semantic",0,0,"5%",299.468978579782
81,98,"LUNATIC","CRITICAL","semantic",1,0,"5%",300.718525706368
81,99,"GAZETTE","","semantic",1,0,"2@",303.444015143221
81,100,"MANIAC","LUNATIC","semantic",0,1,"4$",307.568839790358
81,101,"BIRD","","phonetic",1,0,"4$",309.867570158647
81,102,"TOP","COP","phonetic",0,1,"3#",313.356355272961
81,103,"HUMORIST","COMEDIAN","semantic",0,1,"6^",315.431172339158
81,104,"HIP","SIP","phonetic",0,1,"6^",316.751766124653
81,105,"SORCERER","MAGICIAN","semantic",0,1,"6^",317.742240271327
81,106,"GHOUL","PHANTOM","semantic",0,0,"1!",321.017957252858
81,107,"STROLLER","INFANT","semantic",0,1,"6^",323.295252001961
81,108,"INFANT","CRITICAL","semantic",1,0,"2@",326.519058937702
81,109,"WAGER","GAMBLER","semantic",0,0,"2@",327.732460165105
81,110,"CASTLE","CRITICAL","semantic",1,0,"2@",329.082023853131
81,111,"FITNESS","CRITICAL","semantic",1,0,"1!",330.802867226346
81,112,"ROSE","ROLE","phonetic",0,1,"6^",332.881958540456
81,113,"TEETHING","INFANT","semantic",0,0,"1!",334.892070808273
81,114,"GAMBLER","CRITICAL","semantic",1,0,"3#",340.527053675367
81,115,"SCISSORS","","semantic",1,0,"2@",342.595076357524
81,116,"SWAMPS","DINOSAUR","semantic",0,1,"6^",344.664088060148
81,117,"APARTMENT","","semantic",1,0,"1!",347.12754538648
81,118,"SPECTER","PHANTOM","semantic",0,0,"3#",352.369130431747
81,119,"DEAL","TEAL","phonetic",0,0,"2@",355.224422274434
81,120,"RABBIT","MAGICIAN","semantic",0,1,"6^",359.065809515596
81,121,"BOOK","","phonetic",1,0,"2@",363.535847560226
81,122,"MAGICIAN","CRITICAL","semantic",1,0,"2@",367.131594305669
81,123,"EXERTION","FITNESS","semantic",0,0,"2@",370.922492518206
81,124,"GOBLIN","PHANTOM","semantic",0,1,"2@",376.522442134141
81,125,"ROLE","CRITICAL","phonetic",1,0,"2@",379.359929742233
81,126,"THICKET","","semantic",1,0,"2@",384.160701831323
81,127,"BUN","CRITICAL","phonetic",1,0,"1!",386.828194081274
81,128,"LATE","FATE","phonetic",0,0,"2@",389.754782170581
81,129,"PICCOLO","","semantic",1,0,"1!",391.220752168738
81,130,"HOLE","ROLE","phonetic",0,0,"5%",394.816100506883
81,131,"MEDIEVAL","CASTLE","semantic",0,1,"2@",397.299217880747
81,132,"POP","COP","phonetic",0,0,"5%",400.735734662609
81,133,"MOORING","","semantic",1,0,"1!",403.727751587925
81,134,"INSANITY","LUNATIC","semantic",0,0,"2@",408.661375718148
81,135,"YAW","","phonetic",1,0,"1!",411.569988360352
81,136,"FUR","","phonetic",1,0,"5%",414.382429958001
81,137,"WARMHEARTED","","semantic",1,0,"1!",416.108378916149
81,138,"DIAPERS","INFANT","semantic",0,0,"2@",421.945050582333
81,139,"FATE","CRITICAL","phonetic",1,0,"2@",423.38370822031
81,140,"CANVAS","","semantic",1,0,"1!",426.749499774916
81,141,"WORKOUT","FITNESS","semantic",0,0,"1!",427.903933922236
81,142,"PERK","","phonetic",1,0,"2@",430.124791990806
81,143,"APPARITION","PHANTOM","semantic",0,1,"4$",432.804268183172
81,144,"BUS","BUN","phonetic",0,1,"6^",436.051043719839
